"Category","Topic","Question","Answer"
[cite_start]"Jadwal & Kehadiran","Waktu Pelaksanaan Mingguan","Jam berapa harus datang untuk kegiatan Binder?","Jika mengikuti kegiatan BTQ atau BBQ, datang pukul 07.00. Jika sudah lulus BBQ/BTQ, datang pukul 08.30 (kecuali pekan 2, pekan SOS, dan pekan Pengukuhan)[cite: 1, 2]."
[cite_start]"Jadwal & Kehadiran","Hari Pelaksanaan","Kapan kegiatan Binder dilaksanakan?","Pekanan Binder dilaksanakan setiap hari Ahad[cite: 3, 13]."
"Jadwal & Kehadiran","Pelaksanaan SOS","Kapan kegiatan SOS dilaksanakan?","Pelaksanaan SOS dilaksanakan dalam satu hari, diantara hari Sabtu atau Ahad. [cite_start]Pastinya akan diinformasikan kembali[cite: 1]."
"Jadwal & Kehadiran","Bentrokan Jadwal","Bagaimana jika jadwal Binder bentrok dengan acara jurusan/kaderisasi?","Sobat Binder diharapkan memprioritaskan hadir pekanan Binder. [cite_start]PSDI akan membuatkan surat izin untuk Himpunan/UKM terkait[cite: 1, 5]."
"Jadwal & Kehadiran","Toleransi Keterlambatan","Apakah ada toleransi keterlambatan?","Tidak ada, usahakan selalu datang tepat waktu. [cite_start]Jika ada kendala tak terhindarkan (misal transportasi), segera lapor ke CP[cite: 18]."
[cite_start]"Perizinan","Izin Sakit","Bagaimana prosedur izin jika sakit?","Jika tidak memungkinkan hadir karena sakit, silakan ajukan izin dengan melampirkan surat sakit/bukti sakit kepada CP terkait[cite: 2]."
"Perizinan","Batas Izin","Apakah boleh izin tidak hadir selain sakit/akademik?","Tidak diperbolehkan. Izin hanya untuk sakit atau akademik. [cite_start]Jika bolos (alpa), nilai akan berkurang[cite: 2, 17]."
[cite_start]"Perizinan","Surat Izin Akademik","Siapa yang menandatangani surat izin akademik?","Surat izin akademik perlu ditandatangani oleh Dekan[cite: 1]."
"Atribut & Pakaian","Dresscode Mingguan","Apa pakaian yang harus dikenakan saat pekanan Binder?","Selalu memakai baju hitam putih (disebut 'Oreo'). Jenis peci bebas asal warna hitam. [cite_start]Untuk wanita dresscode formal dan sopan[cite: 1, 3]."
[cite_start]"Atribut & Pakaian","Alasan Seragam","Kenapa harus pakai baju hitam putih (Oreo)?","Agar terlihat rapi, membedakan dengan mahasiswa reguler, dan memudahkan karena biasanya semua mahasiswa memiliki baju warna tersebut[cite: 13]."
"Atribut & Pakaian","Nametag","Apakah nametag wajib dan bagaimana ketentuannya?","Nametag wajib dipakai. Dianjurkan menggunakan cover nametag agar mudah dikaitkan ke baju/hijab. [cite_start]Jika tidak membawa, ada pengurangan nilai[cite: 3]."
[cite_start]"Atribut & Pakaian","Makeup","Bagaimana ketentuan makeup untuk peserta wanita?","Diperbolehkan asal tidak berlebihan dan tidak terlalu tebal agar memudahkan wudhu[cite: 3]."
[cite_start]"Perlengkapan Belajar","Spesifikasi Buku","Ukuran buku apa yang digunakan untuk Binder?","Menggunakan buku ukuran Bigboss, dan untuk sampulnya ukuran A3[cite: 16]."
[cite_start]"Perlengkapan Belajar","Buku Saku vs Binder","Apa bedanya buku saku dan buku Binder?","Isinya berbeda karena buku Binder disesuaikan dengan agenda khusus Binder[cite: 19]."
[cite_start]"Perlengkapan Belajar","Tempat Duduk","Apakah tempat duduk Binder dipisah dengan reguler?","Ya, tempat duduk akan dipisah, dan lokasi biasanya di Aula Al-Furqon[cite: 3]."
[cite_start]"Tugas & Hafalan","Jadwal Setoran","Kapan jadwal setoran hafalan?","Setoran hafalan dilaksanakan di pekan 2, 3, dan 4[cite: 1, 3]."
"Tugas & Hafalan","Teknis Setoran","Apakah setoran hafalan boleh dicicil?","Boleh dicicil. [cite_start]Setoran dilakukan secara individu kepada mentor kelompok[cite: 1, 5]."
"Tugas & Hafalan","Resume","Bagaimana ketentuan dan cara pengumpulan resume?","Resume dikumpulkan melalui link di Taplink. Panjang resume disesuaikan dengan materi. [cite_start]Boleh ditulis di halaman kanan maupun kiri[cite: 4, 5]."
[cite_start]"Tugas & Hafalan","Teknis Menulis Surat","Kalau tidak cukup menulis surat di satu halaman bagaimana?","Boleh dilanjutkan ke halaman berikutnya[cite: 4, 17]."
"Nilai & Sanksi","KKM & Iqob","Apa konsekuensi jika nilai di bawah KKM?","KKM adalah 75. Jika nilai di bawah 75, dikenakan iqob (sanksi). [cite_start]Kategori: Ringan (67-74), Sedang (56-66), Berat (<=55)[cite: 4, 5]."
[cite_start]"Nilai & Sanksi","Mekanisme Nilai A","Apakah otomatis dapat nilai A jika ikut Binder?","InsyaAllah nilai dari PSDI adalah A (selama tugas tuntas & lulus post test), namun nilai akhir tetap diakumulasi dengan penilaian dosen di kelas[cite: 17]."
[cite_start]"Nilai & Sanksi","Pelanggaran Berat","Apa sanksi pelanggaran berat?","Nama dan NIM akan dicatat dan berpengaruh besar terhadap poin yang didapat[cite: 8]."
"Pengukuhan","Durasi & Tempat","Berapa lama kegiatan pengukuhan dan dimana tidurnya?","Pengukuhan berlangsung 2 hari 1 malam. [cite_start]Tidur dilakukan di masjid (bukan tenda)[cite: 2, 7]."
"Pengukuhan","Barang Elektronik/HP","Apakah boleh membawa HP saat pengukuhan?","Boleh membawa, namun dikumpulkan ke panitia saat acara. Dikembalikan setelah selesai. [cite_start]Dilarang menyembunyikan HP kedua[cite: 7, 8]."
"Pengukuhan","Pakaian Tidur","Bagaimana ketentuan pakaian saat tidur di pengukuhan?","Wajib membawa kaos lengan panjang untuk tidur agar nyaman. [cite_start]Esoknya saat dikukuhkan, ganti kembali ke pakaian hitam putih[cite: 8]."
[cite_start]"Pengukuhan","Air Minum","Air 1,5 liter yang dibawa saat pengukuhan untuk apa?","Air tersebut khusus untuk diminum, bukan untuk wudhu[cite: 8]."
"Pengukuhan","Izin Orang Tua","Bagaimana jika orang tua tidak mengizinkan menginap?","Akan disiapkan surat izin. [cite_start]Jika tetap tidak diizinkan, dianggap tidak hadir dan akan ada tugas pengganti[cite: 7]."
[cite_start]"Pengukuhan","Biaya","Apakah ada biaya untuk pengukuhan?","Ada biaya kolektif untuk makan[cite: 7, 5]."
[cite_start]"Social Project (Sospro)","Tema","Apakah ada tema khusus untuk Social Project?","Ya, tema khususnya adalah 'SAHABAT BINDER'[cite: 12]."
"Social Project (Sospro)","Biaya & Dana","Berapa biaya untuk Social Project?","Minimal iuran Rp10.000 per orang dalam kelompok. Sangat dianjurkan open donasi/danus. [cite_start]Panitia juga memberi dana bantuan subsidi[cite: 9, 11]."
"Social Project (Sospro)","Target Audience","Siapa target audiens untuk Sospro dan berapa jumlahnya?","Boleh anak-anak atau anak TPA. [cite_start]Minimal audiens 18 orang, maksimal 30 orang[cite: 9]."
"Social Project (Sospro)","Lokasi","Dimana lokasi Sospro bisa dilaksanakan?","Bebas (Bandung atau luar), asalkan disepakati kelompok. [cite_start]Satu tempat (masjid/panti) hanya untuk satu kelompok[cite: 10, 11]."
"Social Project (Sospro)","Bentuk Kegiatan","Apa saja contoh kegiatan Sospro?","Bebas, bisa story telling, mengajar, atau games kecil-kecilan sesuai kebutuhan target. [cite_start]Tidak boleh online[cite: 12]."
[cite_start]"Social Project (Sospro)","Luaran (Output)","Apa luaran atau tugas akhir dari Sospro?","Laporan kegiatan (LPJ), video after movie (wajib), dan karya nyata bermanfaat jangka panjang (buku/poster/komik islami)[cite: 10, 11, 15]."
"Social Project (Sospro)","Dokumentasi","Apa ketentuan dokumentasi video Sospro?","Format landscape atau portrait bebas, sekreatif mungkin. [cite_start]Sangat dianjurkan diupload ke sosmed[cite: 10, 11]."
[cite_start]"Program BBQ/BTQ","Integrasi Jadwal","Bagaimana jadwal BBQ/BTQ bagi peserta Binder?","Peserta Binder (termasuk yang BBQ, BTQ, atau pengajar) akan diarahkan jadwalnya di hari Ahad bersamaan dengan pekanan Binder agar tidak bentrok[cite: 15, 16]."
[cite_start]"Umum & Benefit","Tujuan Binder","Apa tujuan ikut Binder?","Menyiapkan kader dakwah kampus (Pengurus, Tutor, Brand Ambassador)[cite: 16]."
[cite_start]"Umum & Benefit","Benefit","Apa keuntungan menjadi anggota Binder?","E-Sertifikat, relasi, softskill, nilai PAI prioritas A, dan tambahan poin keaktifan (menuju 100 poin)[cite: 16, 17]."
[cite_start]"Umum & Benefit","Pasca Binder","Apa yang dilakukan setelah selesai Binder?","Wajib memilih satu dari tiga peran: Pengurus, Tutor, atau Brand Ambassador (BA) untuk melanjutkan estafet dakwah[cite: 3, 13]."
[cite_start]"Manajemen","Kewajiban Perwakilan","Kenapa setiap kelas wajib mengirimkan 2 orang?","Untuk regenerasi estafet dakwah dan agar dakwah di kampus terwarnai oleh perwakilan setiap prodi[cite: 14]."
[cite_start]"Manajemen","Estimasi Biaya Total","Berapa estimasi biaya selama satu semester?","Estimasi sekitar Rp20.000 per item (biaya ini mencakup pembuatan Slayer, makan pengukuhan, dll)[cite: 18]."
[cite_start]"Manajemen","Kontak","Apakah ada akun Instagram yang bisa dihubungi?","Ada, silakan cek instagram @psdi.sini[cite: 14]."
